Fichero pcap;SIDs;RSx;TP;TP_LEGITIMO
T0866-VulnAccess-SMBv1_[2].pcapng;1917;1;0;0
T0866-VulnAccess-SMBv1_[2].pcapng;42331;1;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;42340;1;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;42944;1;1;1
T0866-RemoteAccess-VNC-FIXED_[2].pcapng;560;1;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;1917;1;0;0
T0848-RogueMaster-DNP3-FIXED_[1].pcapng;1917;1;0;0
T0890-EscalPrivileges-NetLogon_[2].pcapng;1917;1;0;0
T0888-DiscoverInfo-DNP3_[1].pcapng;1917;1;0;0
T0846-Discovery-IEC104_[2].pcapng;1917;1;0;0
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;1390;1;0;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;1917;1;0;0
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;29456;1;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;365;1;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;384;1;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;408;1;1;1
T0843-ProgDownload-IEC104_[2].pcapng;1917;1;0;0
T0843-FileRead-DNP3-FIXED_[1].pcapng / T0843-FileWrite-DNP3-FIXED_[1].pcapng;1917;1;0;0
T0802-AutoCollect-OPCUA_[2].pcapng;1917;1;0;0
T0830-MITM-BacNet-FIXED_[2].pcapng;1384;1;0;1
T0830-MITM-BacNet-FIXED_[2].pcapng;1917;1;0;0
T0830-MITM-BacNet-FIXED_[2].pcapng;29456;1;1;1
T0830-MITM-BacNet-FIXED_[2].pcapng;384;1;1;1
T0830-MITM-BacNet-FIXED_[2].pcapng;408;1;1;1
T0802-AutoCollect-SNMP_[1].pcapng;1411;1;1;1
T0802-AutoCollect-SNMP_[1].pcapng;1417;1;1;1
T0809-DataDestroy-OMRON_[2].pcapng;1390;1;0;1
T0809-DataDestroy-OMRON_[2].pcapng;1394;1;0;1
T0816-RestartAllenBradley-SNMP_[2].pcapng;1417;1;1;1
T0816-RestartAllenBradley-SNMP_[2].pcapng;402;1;0;1
T0814-DoS-PCC_[1].pcapng;402;1;0;1
T0816-ShtDownAllenBradley-CIP_[1].pcapng;402;1;0;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;1917;1;0;0
T0885-C&Cp502Ignition-HTTP_[1].pcapng;1917;1;0;0
T0831-Modifparam-IEC104_[2].pcapng;1917;1;0;0
T0831-ModifParam-DNP3_[1].pcapng;1917;1;0;0
T0882-DirRead-DNP3-FIXED_[1].pcapng;1917;1;0;0
T0866-VulnAccess-SMBv1_[2].pcapng;1917;2;0;0
T0866-VulnAccess-SMBv1_[2].pcapng;42331;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;42340;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;42944;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2024216;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2024218;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2102466;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2102465;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2024297;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2035480;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2027397;2;0;1
T0866-VulnAccess-SMBv1_[2].pcapng;2025644;2;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2024217;2;1;1
T0866-RemoteAccess-VNC-FIXED_[2].pcapng;560;2;1;1
T0866-RemoteAccess-VNC-FIXED_[2].pcapng;2035480;2;1;1
T0866-RemoteAccess-VNC-FIXED_[2].pcapng;2025644;2;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;1917;2;0;0
T0848-RogueMaster-IEC-104_[2].pcapng;2046160;2;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046161;2;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046165;2;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046164;2;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046158;2;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046159;2;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046162;2;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046163;2;1;1
T0848-RogueMaster-DNP3-FIXED_[1].pcapng;1917;2;0;0
T0890-EscalPrivileges-NetLogon_[2].pcapng;1917;2;0;0
T0890-EscalPrivileges-NetLogon_[2].pcapng;2027397;2;0;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2030870;2;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2030871;2;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2035260;2;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2001581;2;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2035262;2;1;1
T0846-DiscoveryNmap-S7_[1].pcapng;2027397;2;0;1
T0888-DiscoverInfo-DNP3_[1].pcapng;1917;2;0;0
T0846-Discovery-BacNet_[2].pcap ;2027397;2;0;1
T0846-Discovery-IEC104_[2].pcapng;1917;2;0;0
T0846-Discovery-IEC104_[2].pcapng;2027397;2;0;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;1390;2;0;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;1917;2;0;0
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;29456;2;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;365;2;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;384;2;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;408;2;1;1
T0888-ScanInfo-OPCUA-Nmap_[2].pcapng;2018489;2;1;1
T0843-ProgDownload-IEC104_[2].pcapng;1917;2;0;0
T0843-ProgDownload-IEC104_[2].pcapng;2046160;2;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046161;2;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046165;2;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046164;2;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046158;2;1;1
T0843-ProgDownload-IEC104_[2].pcapng;2046159;2;1;1
T0843-FileRead-DNP3-FIXED_[1].pcapng / T0843-FileWrite-DNP3-FIXED_[1].pcapng;1917;2;0;0
T0802-AutoCollect-OPCUA_[2].pcapng;1917;2;0;0
T0830-MITM-BacNet-FIXED_[2].pcapng;1384;2;0;1
T0830-MITM-BacNet-FIXED_[2].pcapng;1917;2;0;0
T0830-MITM-BacNet-FIXED_[2].pcapng;29456;2;1;1
T0830-MITM-BacNet-FIXED_[2].pcapng;384;2;1;1
T0830-MITM-BacNet-FIXED_[2].pcapng;408;2;1;1
T0802-AutoCollect-SNMP_[1].pcapng;1411;2;1;1
T0802-AutoCollect-SNMP_[1].pcapng;1417;2;1;1
T0802-AutoCollect-SNMP_[1].pcapng;2101411;2;1;1
T0809-DataDestroy-OMRON_[2].pcapng;1390;2;0;1
T0809-DataDestroy-OMRON_[2].pcapng;1394;2;0;1
T0816-RestartAllenBradley-SNMP_[2].pcapng;1417;2;1;1
T0816-RestartAllenBradley-SNMP_[2].pcapng;402;2;0;1
T0814-DoS-PCC_[1].pcapng;402;2;0;1
T0814-DoS-PCC_[1].pcapng;2026917;2;1;1
T0816-ShtDownAllenBradley-CIP_[1].pcapng;402;2;0;1
T0836-ModifParam-S7_[1].pcapng;2027397;2;0;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;1917;2;0;0
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;2011976;2;1;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;2035480;2;1;1
T0885-C&Cp502RWin-TCP_[1].pcapng / T0885-C&Cp502RWin-TCP-2_[1].pcapng / T0885-C&Cp502RWin-TCP-3_[1].pcapng;2025644;2;1;1
T0885-C&Cp502Ignition-HTTP_[1].pcapng;1917;2;0;0
T0885-C&Cp502Ignition-HTTP_[1].pcapng;2018358;2;1;1
T0885-C&Cp502Ignition-HTTP_[1].pcapng;2035480;2;1;1
T0885-C&Cp502Ignition-HTTP_[1].pcapng;2025644;2;1;1
T0885-C&Cp20000RWin-TCP_[1].pcapng;2011976;2;1;1
T0885-C&Cp20000RWin-TCP_[1].pcapng;2035480;2;1;1
T0885-C&Cp20000RWin-TCP_[1].pcapng;2025644;2;1;1
T0885-C&Cp102Ignition-TCP_[1].pcapng;2018358;2;1;1
T0885-C&Cp102Ignition-TCP_[1].pcapng;2035480;2;1;1
T0885-C&Cp102Ignition-TCP_[1].pcapng;2025644;2;1;1
T0831-Modifparam-IEC104_[2].pcapng;1917;2;0;0
T0831-Modifparam-IEC104_[2].pcapng;2046160;2;1;1
T0831-Modifparam-IEC104_[2].pcapng;2046161;2;1;1
T0831-Modifparam-IEC104_[2].pcapng;2046164;2;1;1
T0831-Modifparam-IEC104_[2].pcapng;2046165;2;1;1
T0831-Modifparam-IEC104_[2].pcapng;2027397;2;0;1
T0831-Modifparam-IEC104_[2].pcapng;2046158;2;1;1
T0831-Modifparam-IEC104_[2].pcapng;2046159;2;1;1
T0882-DirectoryRead-IEC104_[2].pcapng;2046160;2;1;1
T0882-DirectoryRead-IEC104_[2].pcapng;2046161;2;1;1
T0882-DirectoryRead-IEC104_[2].pcapng;2046165;2;1;1
T0882-DirectoryRead-IEC104_[2].pcapng;2046164;2;1;1
T0882-DirectoryRead-IEC104_[2].pcapng;2027397;2;0;1
T0831-ModifParam-DNP3_[1].pcapng;1917;2;0;0
T0882-DirRead-DNP3-FIXED_[1].pcapng;1917;2;0;0
T0866-VulnAccess-SMBv1_[2].pcapng;1917;3;0;0
T0866-VulnAccess-SMBv1_[2].pcapng;24303;3;0;0
T0866-VulnAccess-SMBv1_[2].pcapng;42329;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;41807;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;44489;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;44488;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;44486;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;44484;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;42944;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;42340;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;43459;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;5730;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;42331;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;42330;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;41978;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;58160;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2024216;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2024218;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2102466;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2102465;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2024297;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2035480;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2027397;3;0;1
T0866-VulnAccess-SMBv1_[2].pcapng;2025644;3;1;1
T0866-VulnAccess-SMBv1_[2].pcapng;2024217;3;1;1
T0866-RemoteAccess-VNC-FIXED_[2].pcapng;560;3;1;1
T0866-RemoteAccess-VNC-FIXED_[2].pcapng;51018;3;0;1
T0866-RemoteAccess-VNC-FIXED_[2].pcapng;58160;3;1;1
T0866-RemoteAccess-VNC-FIXED_[2].pcapng;2035480;3;1;1
T0866-RemoteAccess-VNC-FIXED_[2].pcapng;2025644;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41048;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41049;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41050;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41051;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41052;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41054;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41055;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41058;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41061;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41070;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41071;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41074;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41075;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41078;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;41079;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52150;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52151;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52152;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52155;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52185;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52189;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52191;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52192;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;52193;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;1917;3;0;0
T0848-RogueMaster-IEC-104_[2].pcapng;2046160;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046161;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046165;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046164;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046158;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046159;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046162;3;1;1
T0848-RogueMaster-IEC-104_[2].pcapng;2046163;3;1;1
T0848-RogueMaster-DNP3-FIXED_[1].pcapng;1917;3;0;0
T0858-ChangeOPMode-Omron_[2].pcapng;15398;3;1;1
T0858-ChangeOPMode-Omron_[2].pcapng;15399;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;1917;3;0;0
T0890-EscalPrivileges-NetLogon_[2].pcapng;24301;3;0;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;51037;3;0;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;55703;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;55704;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;55802;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;57280;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2027397;3;0;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2030870;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2030871;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2035260;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2001581;3;1;1
T0890-EscalPrivileges-NetLogon_[2].pcapng;2035262;3;1;1
