appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
44142	4853	OPC.UA_Hello.Message	Operational.Technology: OPC.UA_Hello.Message	elevated	192.168.1.15	192.168.1.20	
44143	4853	OPC.UA_Acknowledge.Message	Operational.Technology: OPC.UA_Acknowledge.Message	elevated	192.168.1.15	192.168.1.20	
44145	4853	OPC.UA_Open.Secure.Channel.Request	Operational.Technology: OPC.UA_Open.Secure.Channel.Request	elevated	192.168.1.15	192.168.1.20	
44144	4853	OPC.UA_Get.Endpoints.Request	Operational.Technology: OPC.UA_Get.Endpoints.Request	elevated	192.168.1.15	192.168.1.20	
10000166	4853	Siemens.Devices	IoT: Siemens.Devices	low	192.168.1.15	192.168.1.20	
44147	4853	OPC.UA_Close.Secure.Channel.Request	Operational.Technology: OPC.UA_Close.Secure.Channel.Request	elevated	192.168.1.15	192.168.1.20	
44142	4854	OPC.UA_Hello.Message	Operational.Technology: OPC.UA_Hello.Message	elevated	192.168.1.15	192.168.1.20	
44143	4854	OPC.UA_Acknowledge.Message	Operational.Technology: OPC.UA_Acknowledge.Message	elevated	192.168.1.15	192.168.1.20	
44145	4854	OPC.UA_Open.Secure.Channel.Request	Operational.Technology: OPC.UA_Open.Secure.Channel.Request	elevated	192.168.1.15	192.168.1.20	
44799	4854	OPC.UA_Create.Session.Request	Operational.Technology: OPC.UA_Create.Session.Request	elevated	192.168.1.15	192.168.1.20	
10000166	4854	Siemens.Devices	IoT: Siemens.Devices	low	192.168.1.15	192.168.1.20	
44791	4854	OPC.UA_Activate.Session.Request	Operational.Technology: OPC.UA_Activate.Session.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44148	4854	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44148	4854	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44148	4854	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44152	4854	OPC.UA_Create.Subscription.Request	Operational.Technology: OPC.UA_Create.Subscription.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44153	4854	OPC.UA_Create.Monitored.Items.Request	Operational.Technology: OPC.UA_Create.Monitored.Items.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44151	4854	OPC.UA_Browse.Request	Operational.Technology: OPC.UA_Browse.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44148	4854	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44151	4854	OPC.UA_Browse.Request	Operational.Technology: OPC.UA_Browse.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44148	4854	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44151	4854	OPC.UA_Browse.Request	Operational.Technology: OPC.UA_Browse.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44148	4854	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44151	4854	OPC.UA_Browse.Request	Operational.Technology: OPC.UA_Browse.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44151	4854	OPC.UA_Browse.Request	Operational.Technology: OPC.UA_Browse.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44148	4854	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
44151	4854	OPC.UA_Browse.Request	Operational.Technology: OPC.UA_Browse.Request	elevated	192.168.1.15	192.168.1.20	
44146	4854	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.15	192.168.1.20	
