appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51590	4865	Omron.FINS_Memory.Area.Read	Operational.Technology: Omron.FINS_Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51591	4865	Omron.FINS_Memory.Area.Write	Operational.Technology: Omron.FINS_Memory.Area.Write	elevated	10.4.14.102	10.130.130.130	
51592	4865	Omron.FINS_Memory.Area.Fill	Operational.Technology: Omron.FINS_Memory.Area.Fill	elevated	10.4.14.102	10.130.130.130	
51593	4865	Omron.FINS_Multiple.Memory.Area.Read	Operational.Technology: Omron.FINS_Multiple.Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51593	4865	Omron.FINS_Multiple.Memory.Area.Read	Operational.Technology: Omron.FINS_Multiple.Memory.Area.Read	elevated	10.4.14.102	10.130.130.130	
51594	4865	Omron.FINS_Memory.Area.Transfer	Operational.Technology: Omron.FINS_Memory.Area.Transfer	elevated	10.4.14.102	10.130.130.130	
51595	4865	Omron.FINS_Parameter.Area.Read	Operational.Technology: Omron.FINS_Parameter.Area.Read	elevated	10.4.14.102	10.130.130.130	
51595	4865	Omron.FINS_Parameter.Area.Read	Operational.Technology: Omron.FINS_Parameter.Area.Read	elevated	10.4.14.102	10.130.130.130	
51595	4865	Omron.FINS_Parameter.Area.Read	Operational.Technology: Omron.FINS_Parameter.Area.Read	elevated	10.4.14.102	10.130.130.130	
51595	4865	Omron.FINS_Parameter.Area.Read	Operational.Technology: Omron.FINS_Parameter.Area.Read	elevated	10.4.14.102	10.130.130.130	
51595	4865	Omron.FINS_Parameter.Area.Read	Operational.Technology: Omron.FINS_Parameter.Area.Read	elevated	10.4.14.102	10.130.130.130	
51597	4865	Omron.FINS_Parameter.Area.Write	Operational.Technology: Omron.FINS_Parameter.Area.Write	elevated	10.4.14.102	10.130.130.130	
51596	4865	Omron.FINS_Data.Link.Table.Read	Operational.Technology: Omron.FINS_Data.Link.Table.Read	elevated	10.4.14.102	10.130.130.130	
51598	4865	Omron.FINS_Data.Link.Table.Write	Operational.Technology: Omron.FINS_Data.Link.Table.Write	elevated	10.4.14.102	10.130.130.130	
51599	4865	Omron.FINS_Parameter.Area.Clear	Operational.Technology: Omron.FINS_Parameter.Area.Clear	elevated	10.4.14.102	10.130.130.130	
51600	4865	Omron.FINS_Program.Area.Protect	Operational.Technology: Omron.FINS_Program.Area.Protect	elevated	10.4.14.102	10.130.130.130	
51603	4865	Omron.FINS_Program.Area.Protect.Clear	Operational.Technology: Omron.FINS_Program.Area.Protect.Clear	elevated	10.4.14.102	10.130.130.130	
51604	4865	Omron.FINS_Program.Area.Read	Operational.Technology: Omron.FINS_Program.Area.Read	elevated	10.4.14.102	10.130.130.130	
51605	4865	Omron.FINS_Program.Area.Write	Operational.Technology: Omron.FINS_Program.Area.Write	elevated	10.4.14.102	10.130.130.130	
51606	4865	Omron.FINS_Program.Area.Clear	Operational.Technology: Omron.FINS_Program.Area.Clear	elevated	10.4.14.102	10.130.130.130	
51607	4865	Omron.FINS_Run	Operational.Technology: Omron.FINS_Run	elevated	10.4.14.102	10.130.130.130	
51607	4865	Omron.FINS_Run	Operational.Technology: Omron.FINS_Run	elevated	10.4.14.102	10.130.130.130	
51607	4865	Omron.FINS_Run	Operational.Technology: Omron.FINS_Run	elevated	10.4.14.102	10.130.130.130	
51607	4865	Omron.FINS_Run	Operational.Technology: Omron.FINS_Run	elevated	10.4.14.102	10.130.130.130	
51608	4865	Omron.FINS_Stop	Operational.Technology: Omron.FINS_Stop	elevated	10.4.14.102	10.130.130.130	
51609	4865	Omron.FINS_Controller.Data.Read	Operational.Technology: Omron.FINS_Controller.Data.Read	elevated	10.4.14.102	10.130.130.130	
51609	4865	Omron.FINS_Controller.Data.Read	Operational.Technology: Omron.FINS_Controller.Data.Read	elevated	10.4.14.102	10.130.130.130	
51609	4865	Omron.FINS_Controller.Data.Read	Operational.Technology: Omron.FINS_Controller.Data.Read	elevated	10.4.14.102	10.130.130.130	
51610	4865	Omron.FINS_Connection.Data.Read	Operational.Technology: Omron.FINS_Connection.Data.Read	elevated	10.4.14.102	10.130.130.130	
51610	4865	Omron.FINS_Connection.Data.Read	Operational.Technology: Omron.FINS_Connection.Data.Read	elevated	10.4.14.102	10.130.130.130	
51611	4865	Omron.FINS_Controller.Status.Read	Operational.Technology: Omron.FINS_Controller.Status.Read	elevated	10.4.14.102	10.130.130.130	
51612	4865	Omron.FINS_Data.Link.Status.Read	Operational.Technology: Omron.FINS_Data.Link.Status.Read	elevated	10.4.14.102	10.130.130.130	
51613	4865	Omron.FINS_Cycle.Time.Read	Operational.Technology: Omron.FINS_Cycle.Time.Read	elevated	10.4.14.102	10.130.130.130	
51613	4865	Omron.FINS_Cycle.Time.Read	Operational.Technology: Omron.FINS_Cycle.Time.Read	elevated	10.4.14.102	10.130.130.130	
51614	4865	Omron.FINS_Clock.Read	Operational.Technology: Omron.FINS_Clock.Read	elevated	10.4.14.102	10.130.130.130	
51615	4865	Omron.FINS_Clock.Write	Operational.Technology: Omron.FINS_Clock.Write	elevated	10.4.14.102	10.130.130.130	
51615	4865	Omron.FINS_Clock.Write	Operational.Technology: Omron.FINS_Clock.Write	elevated	10.4.14.102	10.130.130.130	
51616	4865	Omron.FINS_Loop.Back.Test	Operational.Technology: Omron.FINS_Loop.Back.Test	elevated	10.4.14.102	10.130.130.130	
51617	4865	Omron.FINS_Broadcast.Test.Results.Read	Operational.Technology: Omron.FINS_Broadcast.Test.Results.Read	elevated	10.4.14.102	10.130.130.130	
51618	4865	Omron.FINS_Broadcast.Test.Data.Send	Operational.Technology: Omron.FINS_Broadcast.Test.Data.Send	elevated	10.4.14.102	10.130.130.130	
51663	4865	Omron.FINS_Message.Read	Operational.Technology: Omron.FINS_Message.Read	elevated	10.4.14.102	10.130.130.130	
51664	4865	Omron.FINS_Message.Clear	Operational.Technology: Omron.FINS_Message.Clear	elevated	10.4.14.102	10.130.130.130	
51619	4865	Omron.FINS_Msg.FAL.FALS.Read	Operational.Technology: Omron.FINS_Msg.FAL.FALS.Read	elevated	10.4.14.102	10.130.130.130	
51620	4865	Omron.FINS_Access.Right.Acquire	Operational.Technology: Omron.FINS_Access.Right.Acquire	elevated	10.4.14.102	10.130.130.130	
51621	4865	Omron.FINS_Access.Right.Forced.Acquire	Operational.Technology: Omron.FINS_Access.Right.Forced.Acquire	elevated	10.4.14.102	10.130.130.130	
51622	4865	Omron.FINS_Access.Right.Release	Operational.Technology: Omron.FINS_Access.Right.Release	elevated	10.4.14.102	10.130.130.130	
51623	4865	Omron.FINS_Error.Clear	Operational.Technology: Omron.FINS_Error.Clear	elevated	10.4.14.102	10.130.130.130	
51623	4865	Omron.FINS_Error.Clear	Operational.Technology: Omron.FINS_Error.Clear	elevated	10.4.14.102	10.130.130.130	
51623	4865	Omron.FINS_Error.Clear	Operational.Technology: Omron.FINS_Error.Clear	elevated	10.4.14.102	10.130.130.130	
51624	4865	Omron.FINS_Error.Log.Read	Operational.Technology: Omron.FINS_Error.Log.Read	elevated	10.4.14.102	10.130.130.130	
51625	4865	Omron.FINS_Error.Log.Clear	Operational.Technology: Omron.FINS_Error.Log.Clear	elevated	10.4.14.102	10.130.130.130	
51626	4865	Omron.FINS_File.Name.Read	Operational.Technology: Omron.FINS_File.Name.Read	elevated	10.4.14.102	10.130.130.130	
