appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
17017	68639	NetBIOS.Name.Service	Network.Service: NetBIOS.Name.Service	elevated	10.200.1.252	10.200.1.18	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
24483	68638	NetBIOS.DGM	Network.Service: NetBIOS.DGM	elevated	10.200.1.18	10.200.1.252	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
53038	0	PCCC_Diagnostic.Status	Operational.Technology: PCCC_Diagnostic.Status	elevated	10.50.1.54	10.200.1.18	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
45361	0	CIP_Response.Success	Operational.Technology: CIP_Response.Success	elevated	10.200.1.18	10.50.1.54	
