appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
25834	71659	BACnet	Operational.Technology: BACnet	elevated	104.130.52.9	10.200.1.15	
25834	71659	BACnet	Operational.Technology: BACnet	elevated	104.130.52.9	10.200.1.15	
25834	71659	BACnet	Operational.Technology: BACnet	elevated	104.130.52.9	10.200.1.15	
25834	71659	BACnet	Operational.Technology: BACnet	elevated	104.130.52.9	10.200.1.15	
25834	71659	BACnet	Operational.Technology: BACnet	elevated	104.130.52.9	10.200.1.15	
25834	71659	BACnet	Operational.Technology: BACnet	elevated	104.130.52.9	10.200.1.15	
42966	71669	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.174	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
10000388	71662	BACnet.Devices	IoT: BACnet.Devices	low	10.200.1.127	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
42966	71662	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	10.200.1.127	10.200.1.15	
42999	71662	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	10.200.1.127	10.200.1.15	
