appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
16083	4920	UPnP	Network.Service: UPnP	elevated	192.168.1.1	239.255.255.250	
32609	4922	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.197	239.255.255.250	
17011	4924	Multicast.DNS	Network.Service: Multicast.DNS	elevated	192.168.1.137	224.0.0.251	
16083	4926	UPnP	Network.Service: UPnP	elevated	192.168.1.197	239.255.255.250	
16083	4928	UPnP	Network.Service: UPnP	elevated	192.168.1.1	239.255.255.250	
16083	4921	UPnP	Network.Service: UPnP	elevated	192.168.1.1	239.255.255.250	
32609	4925	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.197	239.255.255.250	
16083	4929	UPnP	Network.Service: UPnP	elevated	192.168.1.1	239.255.255.250	
16083	4933	UPnP	Network.Service: UPnP	elevated	192.168.1.214	239.255.255.250	
32609	4930	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.197	239.255.255.250	
16083	4932	UPnP	Network.Service: UPnP	elevated	192.168.1.214	239.255.255.250	
32609	4934	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.197	239.255.255.250	
16083	4936	UPnP	Network.Service: UPnP	elevated	192.168.1.1	239.255.255.250	
42983	4938	BACnet_I.Am	Operational.Technology: BACnet_I.Am	elevated	192.168.1.200	192.168.1.195	
42983	4938	BACnet_I.Am	Operational.Technology: BACnet_I.Am	elevated	192.168.1.200	192.168.1.195	
42983	4938	BACnet_I.Am	Operational.Technology: BACnet_I.Am	elevated	192.168.1.200	192.168.1.195	
42983	4938	BACnet_I.Am	Operational.Technology: BACnet_I.Am	elevated	192.168.1.200	192.168.1.195	
42983	4938	BACnet_I.Am	Operational.Technology: BACnet_I.Am	elevated	192.168.1.200	192.168.1.195	
32609	4940	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.197	239.255.255.250	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
42999	4938	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.200	192.168.1.195	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
42999	4938	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.200	192.168.1.195	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
42999	4938	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.200	192.168.1.195	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
42999	4938	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.200	192.168.1.195	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
42999	4938	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.200	192.168.1.195	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
42999	4938	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.200	192.168.1.195	
32609	4942	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.197	239.255.255.250	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
42999	4938	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.200	192.168.1.195	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
42999	4938	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.200	192.168.1.195	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
42999	4938	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.200	192.168.1.195	
42966	4938	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.200	192.168.1.195	
