appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
34039	73119	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
34039	73121	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
34039	73123	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
34039	73125	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.193	10.50.1.52	
34039	73118	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
34039	73120	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
34039	73122	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
34039	73128	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.193	10.50.1.52	
34039	73126	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.193	10.50.1.52	
34039	73129	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.193	10.50.1.52	
34039	73127	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.193	10.50.1.52	
34039	73130	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.193	10.50.1.52	
15896	73131	FTP	Network.Service: FTP	elevated	10.200.1.174	10.50.1.52	
34038	73133	HTTP.BROWSER_IE	Web.Client: HTTP.BROWSER_IE	medium	10.200.1.174	10.50.1.52	
34038	73135	HTTP.BROWSER_IE	Web.Client: HTTP.BROWSER_IE	medium	10.200.1.174	10.50.1.52	
34038	73132	HTTP.BROWSER_IE	Web.Client: HTTP.BROWSER_IE	medium	10.200.1.174	10.50.1.52	
34038	73134	HTTP.BROWSER_IE	Web.Client: HTTP.BROWSER_IE	medium	10.200.1.174	10.50.1.52	
34038	73136	HTTP.BROWSER_IE	Web.Client: HTTP.BROWSER_IE	medium	10.200.1.174	10.50.1.52	
34039	74960	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.193	10.50.1.52	
34039	74962	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
34039	74961	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
34039	74963	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
34039	74964	HTTP.BROWSER_Chrome	Web.Client: HTTP.BROWSER_Chrome	elevated	10.200.1.86	10.50.1.52	
