appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
42966	5594	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.156	192.168.1.134	
42999	5594	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.156	192.168.1.134	
42966	5594	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.156	192.168.1.134	
42999	5594	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.156	192.168.1.134	
42966	5594	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.156	192.168.1.134	
42999	5594	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.156	192.168.1.134	
42966	5594	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.156	192.168.1.134	
42999	5594	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.156	192.168.1.134	
42966	5594	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.156	192.168.1.134	
42999	5594	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.156	192.168.1.134	
42966	5594	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.156	192.168.1.134	
42999	5594	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.156	192.168.1.134	
42966	5594	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.156	192.168.1.134	
42999	5594	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.156	192.168.1.134	
10000388	5594	BACnet.Devices	IoT: BACnet.Devices	low	192.168.1.156	192.168.1.134	
10003733	5594	SCADA.Engine.BACnet.Server	IoT: SCADA.Engine.BACnet.Server	low	192.168.1.156	192.168.1.134	
42966	5594	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.156	192.168.1.134	
42999	5594	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.156	192.168.1.134	
42966	5594	BACnet_Read.Property	Operational.Technology: BACnet_Read.Property	elevated	192.168.1.156	192.168.1.134	
42999	5594	BACnet_Complex.ACK	Operational.Technology: BACnet_Complex.ACK	elevated	192.168.1.156	192.168.1.134	
