appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
17017	5739	NetBIOS.Name.Service	Network.Service: NetBIOS.Name.Service	elevated	192.168.1.135	192.168.1.201	
27457	5741	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
44611	5741	SMB.v1	Network.Service: SMB.v1	elevated	192.168.1.135	192.168.1.201	
10000483	5741	Microsoft.Windows	OT: Microsoft.Windows	low	192.168.1.135	192.168.1.201	
10000483	5741	Microsoft.Windows	OT: Microsoft.Windows	low	192.168.1.135	192.168.1.201	
10000483	5741	Microsoft.Windows	OT: Microsoft.Windows	low	192.168.1.135	192.168.1.201	
27457	5743	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
44611	5743	SMB.v1	Network.Service: SMB.v1	elevated	192.168.1.135	192.168.1.201	
10000483	5743	Microsoft.Windows	OT: Microsoft.Windows	low	192.168.1.135	192.168.1.201	
10000483	5743	Microsoft.Windows	OT: Microsoft.Windows	low	192.168.1.135	192.168.1.201	
15895	5738	SSL	Network.Service: SSL	elevated	192.168.1.135	192.168.1.201	
15895	5740	SSL	Network.Service: SSL	elevated	192.168.1.135	192.168.1.201	
17017	5742	NetBIOS.Name.Service	Network.Service: NetBIOS.Name.Service	elevated	192.168.1.135	192.168.1.201	
27457	5744	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
44611	5744	SMB.v1	Network.Service: SMB.v1	elevated	192.168.1.135	192.168.1.201	
27457	5746	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5748	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5750	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5752	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5754	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5756	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5758	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5760	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5762	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5764	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5745	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
44611	5745	SMB.v1	Network.Service: SMB.v1	elevated	192.168.1.135	192.168.1.201	
27457	5747	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5749	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5751	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5753	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5755	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5757	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5759	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
44611	5759	SMB.v1	Network.Service: SMB.v1	elevated	192.168.1.135	192.168.1.201	
27457	5761	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5763	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5768	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
44611	5768	SMB.v1	Network.Service: SMB.v1	elevated	192.168.1.135	192.168.1.201	
27457	5770	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5772	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5774	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5776	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5778	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5780	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5782	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5784	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5786	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5788	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
44611	5788	SMB.v1	Network.Service: SMB.v1	elevated	192.168.1.135	192.168.1.201	
27457	5790	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
27457	5792	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
17011	5765	Multicast.DNS	Network.Service: Multicast.DNS	elevated	192.168.1.128	224.0.0.251	
17011	5767	Multicast.DNS	Network.Service: Multicast.DNS	elevated	192.168.1.129	224.0.0.251	
27457	5769	Windows.File.Sharing	Network.Service: Windows.File.Sharing	elevated	192.168.1.135	192.168.1.201	
44611	5769	SMB.v1	Network.Service: SMB.v1	elevated	192.168.1.135	192.168.1.201	
