appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
33114	5872	IEC.60870.5.104_Control.Functions.STARTDT.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.ACT	elevated	192.168.1.129	192.168.1.130	
33114	5872	IEC.60870.5.104_Control.Functions.STARTDT.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.ACT	elevated	192.168.1.129	192.168.1.130	
33115	5872	IEC.60870.5.104_Control.Functions.STARTDT.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.CON	elevated	192.168.1.129	192.168.1.130	
33115	5872	IEC.60870.5.104_Control.Functions.STARTDT.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.CON	elevated	192.168.1.129	192.168.1.130	
10002858	5872	IEC.Devices	OT: IEC.Devices	low	192.168.1.129	192.168.1.130	
10002858	5872	IEC.Devices	OT: IEC.Devices	low	192.168.1.129	192.168.1.130	
33114	5867	IEC.60870.5.104_Control.Functions.STARTDT.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.ACT	elevated	192.168.1.129	192.168.1.130	
33114	5867	IEC.60870.5.104_Control.Functions.STARTDT.ACT	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.ACT	elevated	192.168.1.129	192.168.1.130	
33115	5867	IEC.60870.5.104_Control.Functions.STARTDT.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.CON	elevated	192.168.1.129	192.168.1.130	
33115	5867	IEC.60870.5.104_Control.Functions.STARTDT.CON	Operational.Technology: IEC.60870.5.104_Control.Functions.STARTDT.CON	elevated	192.168.1.129	192.168.1.130	
10002858	5867	IEC.Devices	OT: IEC.Devices	low	192.168.1.129	192.168.1.130	
10002858	5867	IEC.Devices	OT: IEC.Devices	low	192.168.1.129	192.168.1.130	
33129	5867	IEC.60870.5.104_Supervisory.Functions	Operational.Technology: IEC.60870.5.104_Supervisory.Functions	elevated	192.168.1.129	192.168.1.130	
