appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
10000180	5947	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5947	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5947	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5949	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5949	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5951	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5951	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5953	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5955	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5957	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5953	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5955	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5957	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5948	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5948	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5950	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5952	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5950	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5952	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5954	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5956	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5954	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5956	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5958	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5960	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5958	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5960	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5962	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5962	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5964	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5966	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5964	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5966	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5968	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5968	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5970	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5972	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5970	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5972	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5974	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5976	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5974	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5976	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5978	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5978	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5980	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5980	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5982	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5982	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
10000180	5984	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5986	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5988	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5990	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
10000180	5992	MQTT.Devices	IoT: MQTT.Devices	low	192.168.1.134	192.168.1.133	Ncrack
37200	5984	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5986	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
37200	5988	MQTT	Network.Service: MQTT	low	192.168.1.134	192.168.1.133	
