appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
17017	6747	NetBIOS.Name.Service	Network.Service: NetBIOS.Name.Service	elevated	192.168.2.86	192.168.2.255	
16083	6749	UPnP	Network.Service: UPnP	elevated	192.168.2.86	239.255.255.250	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31818	6748	DNP3_Unsolicited.Message	Operational.Technology: DNP3_Unsolicited.Message	elevated	192.168.2.91	192.168.2.86	
31818	6748	DNP3_Unsolicited.Message	Operational.Technology: DNP3_Unsolicited.Message	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
51798	6748	DNP3_Data.Link.Layer.Function.Reset.Of.Remote.Link	Operational.Technology: DNP3_Data.Link.Layer.Function.Reset.Of.Remote.Link	elevated	192.168.2.91	192.168.2.86	
51802	6748	DNP3_Data.Link.Layer.Function.ACK	Operational.Technology: DNP3_Data.Link.Layer.Function.ACK	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31756	6748	DNP3_Confirm	Operational.Technology: DNP3_Confirm	elevated	192.168.2.91	192.168.2.86	
31756	6748	DNP3_Confirm	Operational.Technology: DNP3_Confirm	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17842	6748	DNP3_Write	Operational.Technology: DNP3_Write	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17842	6748	DNP3_Write	Operational.Technology: DNP3_Write	elevated	192.168.2.91	192.168.2.86	
17842	6748	DNP3_Write	Operational.Technology: DNP3_Write	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
55662	6748	DNP3_Class.Dump	Operational.Technology: DNP3_Class.Dump	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
55662	6748	DNP3_Class.Dump	Operational.Technology: DNP3_Class.Dump	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
55662	6748	DNP3_Class.Dump	Operational.Technology: DNP3_Class.Dump	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
55662	6748	DNP3_Class.Dump	Operational.Technology: DNP3_Class.Dump	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
55662	6748	DNP3_Class.Dump	Operational.Technology: DNP3_Class.Dump	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
17843	6748	DNP3_Read	Operational.Technology: DNP3_Read	elevated	192.168.2.91	192.168.2.86	
51812	6748	DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	Operational.Technology: DNP3_Data.Link.Layer.Function.Unconfirmed.User.Data	elevated	192.168.2.91	192.168.2.86	
31817	6748	DNP3_Response	Operational.Technology: DNP3_Response	elevated	192.168.2.91	192.168.2.86	
10003728	6748	DNP.DNP3	IoT: DNP.DNP3	low	192.168.2.91	192.168.2.86	
55662	6748	DNP3_Class.Dump	Operational.Technology: DNP3_Class.Dump	elevated	192.168.2.91	192.168.2.86	
