appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
25873	6755	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6755	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6755	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6755	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
41282	6755	Modbus_Read.Input.Registers.Error	Operational.Technology: Modbus_Read.Input.Registers.Error	elevated	192.168.100.2	192.168.100.3	
40034	6755	Modbus_Exception.Illegal.Function	Operational.Technology: Modbus_Exception.Illegal.Function	elevated	192.168.100.2	192.168.100.3	
40034	6755	Modbus_Exception.Illegal.Function	Operational.Technology: Modbus_Exception.Illegal.Function	elevated	192.168.100.2	192.168.100.3	
25873	6757	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6757	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6757	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6757	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6759	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6759	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6759	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6759	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6761	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6761	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6761	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6761	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6763	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6763	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6763	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6763	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6765	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6765	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6765	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6765	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6767	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6767	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6767	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6767	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6769	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6769	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6769	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6769	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6771	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6771	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6771	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6771	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6756	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6756	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6756	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6756	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6758	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6758	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6758	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6758	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6760	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6760	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6760	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6760	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6762	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6762	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6762	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6762	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6764	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6764	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6764	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6764	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6766	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6766	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6766	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6766	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6768	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6768	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6768	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6768	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6770	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
48884	6770	Modbus_Func04.Read.Input.Validation	Operational.Technology: Modbus_Func04.Read.Input.Validation	elevated	192.168.100.2	192.168.100.3	
25873	6770	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
25873	6770	Modbus_Read.Input.Registers	Operational.Technology: Modbus_Read.Input.Registers	elevated	192.168.100.2	192.168.100.3	
