appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
15893	6832	HTTP.BROWSER	Web.Client: HTTP.BROWSER	medium	192.168.1.241	192.168.1.195	
44161	6832	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
11767	6834	Stream.Media	Video/Audio: Stream.Media	elevated	192.168.1.241	192.168.1.195	
44161	6834	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6836	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
15893	6833	HTTP.BROWSER	Web.Client: HTTP.BROWSER	medium	192.168.1.241	192.168.1.195	
44161	6833	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6835	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
15895	6839	SSL	Network.Service: SSL	elevated	192.168.1.241	192.168.1.195	
15895	6841	SSL	Network.Service: SSL	elevated	192.168.1.241	192.168.1.195	
44161	6843	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
15893	6845	HTTP.BROWSER	Web.Client: HTTP.BROWSER	medium	192.168.1.241	192.168.1.195	
44161	6845	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6847	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6849	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6851	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6855	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6857	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
16663	6859	CORBA	Network.Service: CORBA	elevated	192.168.1.241	192.168.1.195	
44161	6859	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
16206	6867	ICMP	Network.Service: ICMP	elevated	192.168.1.195	192.168.1.241	
16206	6879	ICMP	Network.Service: ICMP	elevated	192.168.1.241	192.168.1.195	
24466	6881	Ping	Network.Service: Ping	elevated	192.168.1.241	192.168.1.195	
15895	6885	SSL	Network.Service: SSL	elevated	192.168.1.241	192.168.1.195	
15895	6887	SSL	Network.Service: SSL	elevated	192.168.1.241	192.168.1.195	
44161	6889	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
15511	6840	RDP	Remote.Access: RDP	high	192.168.1.241	192.168.1.195	
44161	6840	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
16265	6842	Kerberos	Network.Service: Kerberos	elevated	192.168.1.241	192.168.1.195	
44161	6842	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6844	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6846	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6848	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6850	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6852	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
16932	6854	JavaRMI_Stream	General.Interest: JavaRMI_Stream	elevated	192.168.1.241	192.168.1.195	
44161	6856	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
44161	6858	OPC.UA_Error.Message	Operational.Technology: OPC.UA_Error.Message	elevated	192.168.1.241	192.168.1.195	
16206	6866	ICMP	Network.Service: ICMP	elevated	192.168.1.241	192.168.1.195	
24466	6868	Ping	Network.Service: Ping	elevated	192.168.1.241	192.168.1.195	
16206	6880	ICMP	Network.Service: ICMP	elevated	192.168.1.195	192.168.1.241	
16083	6888	UPnP	Network.Service: UPnP	elevated	192.168.1.195	239.255.255.250	
