appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
44142	6971	OPC.UA_Hello.Message	Operational.Technology: OPC.UA_Hello.Message	elevated	192.168.1.241	192.168.1.195	
44143	6971	OPC.UA_Acknowledge.Message	Operational.Technology: OPC.UA_Acknowledge.Message	elevated	192.168.1.241	192.168.1.195	
44145	6971	OPC.UA_Open.Secure.Channel.Request	Operational.Technology: OPC.UA_Open.Secure.Channel.Request	elevated	192.168.1.241	192.168.1.195	
44804	6971	OPC.UA_Find.Servers.Request	Operational.Technology: OPC.UA_Find.Servers.Request	elevated	192.168.1.241	192.168.1.195	
44146	6971	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44147	6971	OPC.UA_Close.Secure.Channel.Request	Operational.Technology: OPC.UA_Close.Secure.Channel.Request	elevated	192.168.1.241	192.168.1.195	
44142	6973	OPC.UA_Hello.Message	Operational.Technology: OPC.UA_Hello.Message	elevated	192.168.1.241	192.168.1.195	
44143	6973	OPC.UA_Acknowledge.Message	Operational.Technology: OPC.UA_Acknowledge.Message	elevated	192.168.1.241	192.168.1.195	
44142	6975	OPC.UA_Hello.Message	Operational.Technology: OPC.UA_Hello.Message	elevated	192.168.1.241	192.168.1.195	
44143	6975	OPC.UA_Acknowledge.Message	Operational.Technology: OPC.UA_Acknowledge.Message	elevated	192.168.1.241	192.168.1.195	
44145	6975	OPC.UA_Open.Secure.Channel.Request	Operational.Technology: OPC.UA_Open.Secure.Channel.Request	elevated	192.168.1.241	192.168.1.195	
44799	6975	OPC.UA_Create.Session.Request	Operational.Technology: OPC.UA_Create.Session.Request	elevated	192.168.1.241	192.168.1.195	
44791	6975	OPC.UA_Activate.Session.Request	Operational.Technology: OPC.UA_Activate.Session.Request	elevated	192.168.1.241	192.168.1.195	
44146	6975	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44797	6975	OPC.UA_Close.Session.Request	Operational.Technology: OPC.UA_Close.Session.Request	elevated	192.168.1.241	192.168.1.195	
44146	6975	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44147	6975	OPC.UA_Close.Secure.Channel.Request	Operational.Technology: OPC.UA_Close.Secure.Channel.Request	elevated	192.168.1.241	192.168.1.195	
44142	6970	OPC.UA_Hello.Message	Operational.Technology: OPC.UA_Hello.Message	elevated	192.168.1.241	192.168.1.195	
44143	6970	OPC.UA_Acknowledge.Message	Operational.Technology: OPC.UA_Acknowledge.Message	elevated	192.168.1.241	192.168.1.195	
44142	6974	OPC.UA_Hello.Message	Operational.Technology: OPC.UA_Hello.Message	elevated	192.168.1.241	192.168.1.195	
44143	6974	OPC.UA_Acknowledge.Message	Operational.Technology: OPC.UA_Acknowledge.Message	elevated	192.168.1.241	192.168.1.195	
44145	6974	OPC.UA_Open.Secure.Channel.Request	Operational.Technology: OPC.UA_Open.Secure.Channel.Request	elevated	192.168.1.241	192.168.1.195	
44144	6974	OPC.UA_Get.Endpoints.Request	Operational.Technology: OPC.UA_Get.Endpoints.Request	elevated	192.168.1.241	192.168.1.195	
44146	6974	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44147	6974	OPC.UA_Close.Secure.Channel.Request	Operational.Technology: OPC.UA_Close.Secure.Channel.Request	elevated	192.168.1.241	192.168.1.195	
44142	6976	OPC.UA_Hello.Message	Operational.Technology: OPC.UA_Hello.Message	elevated	192.168.1.241	192.168.1.195	
44143	6976	OPC.UA_Acknowledge.Message	Operational.Technology: OPC.UA_Acknowledge.Message	elevated	192.168.1.241	192.168.1.195	
44145	6976	OPC.UA_Open.Secure.Channel.Request	Operational.Technology: OPC.UA_Open.Secure.Channel.Request	elevated	192.168.1.241	192.168.1.195	
44799	6976	OPC.UA_Create.Session.Request	Operational.Technology: OPC.UA_Create.Session.Request	elevated	192.168.1.241	192.168.1.195	
44791	6976	OPC.UA_Activate.Session.Request	Operational.Technology: OPC.UA_Activate.Session.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44151	6976	OPC.UA_Browse.Request	Operational.Technology: OPC.UA_Browse.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44148	6976	OPC.UA_Read.Request	Operational.Technology: OPC.UA_Read.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44797	6976	OPC.UA_Close.Session.Request	Operational.Technology: OPC.UA_Close.Session.Request	elevated	192.168.1.241	192.168.1.195	
44146	6976	OPC.UA_Secure.Conversation.Message	Operational.Technology: OPC.UA_Secure.Conversation.Message	elevated	192.168.1.241	192.168.1.195	
44147	6976	OPC.UA_Close.Secure.Channel.Request	Operational.Technology: OPC.UA_Close.Secure.Channel.Request	elevated	192.168.1.241	192.168.1.195	
