appid	sessionid	app	msg	apprisk	srcip	dstip	DeviceID
17011	6989	Multicast.DNS	Network.Service: Multicast.DNS	elevated	192.168.1.71	224.0.0.251	
32609	6991	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.96	239.255.255.250	
32609	6993	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.96	224.0.0.251	
16083	6997	UPnP	Network.Service: UPnP	elevated	192.168.1.71	239.255.255.250	
15897	6999	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7001	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7003	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7005	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7007	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7009	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7011	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7013	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7015	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7017	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7019	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7021	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7023	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7025	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7027	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7029	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
32609	6990	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.1	224.0.0.1	
32609	6992	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.96	224.0.0.252	
32609	6994	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.35	224.0.1.187	
32609	6996	IP.Multicast	Network.Service: IP.Multicast	elevated	192.168.1.35	239.255.255.250	
15897	6998	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7000	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7002	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7004	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7006	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7008	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7010	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7012	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7014	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7016	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7018	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7020	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7022	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7024	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7026	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7028	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7030	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7031	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7033	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7035	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7037	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7039	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7041	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7043	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7045	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7047	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7049	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7051	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7053	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7055	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7057	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7059	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7061	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7063	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7065	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7067	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7069	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7071	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7073	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7075	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7077	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7079	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7081	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7083	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7085	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7087	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7089	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7091	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7093	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7095	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7097	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7099	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7101	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7103	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7105	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7107	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7109	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7111	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7113	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7115	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7117	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7119	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7121	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7123	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7125	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7032	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7034	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7036	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7038	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7040	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7042	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7044	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7046	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7048	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7050	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7052	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7054	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7056	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7058	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7060	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7062	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7064	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7066	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7068	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7070	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7072	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7074	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7076	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7078	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
15897	7080	Microsoft.RPC	Network.Service: Microsoft.RPC	elevated	192.168.1.135	192.168.1.200	
