attackid,sessionid,repeated,severity,attack,service,srcip,dstip,subtype,eventtype,url
49499,6999,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7001,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7003,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7005,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7007,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7009,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7011,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7013,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7015,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7017,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7019,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7021,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7023,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7025,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7027,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7029,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7031,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7033,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7035,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7037,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7039,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7041,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
49499,7043,1,"critical","MS.Windows.Server.Netlogon.Privilege.Elevation","DCERPC",192.168.1.135,192.168.1.200,"ips","signature","http://www.fortinet.com/ids/VID49499"
