ID_regla	sessionid	repeatcnt	severity_number	Nombre_regla	thread_category	prot	src_ip	dst_ip	log_subtype	extra_data
31665	332956	1	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31666	332956	1	2	SCADA DNP3 Write Request to a PLC Atetmpt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	1	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	1	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	3	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	3	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	2	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31665	332956	2	2	SCADA DNP3 Miscellaneous Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
31661	332956	1	2	SCADA DNP3 Read Request to a PLC Attempt	info-leak	tcp	192.168.2.91	192.168.2.86	vulnerability	
