ID_regla	sessionid	repeatcnt	severity_number	Nombre_regla	thread_category	prot	src_ip	dst_ip	log_subtype	extra_data
54319	640318	2	1	Suspicious HTTP Response Found	protocol-anomaly	tcp	192.168.1.241	192.168.1.195	vulnerability	
54319	640318	2	1	Suspicious HTTP Response Found	protocol-anomaly	tcp	192.168.1.241	192.168.1.195	vulnerability	
32880	640318	2	1	HTTP Non RFC-Compliant Response Found	info-leak	tcp	192.168.1.241	192.168.1.195	vulnerability	
32880	640318	2	1	HTTP Non RFC-Compliant Response Found	info-leak	tcp	192.168.1.241	192.168.1.195	vulnerability	
30520	640105	1	1	HTTP OPTIONS Method	info-leak	tcp	192.168.1.241	192.168.1.195	vulnerability	
9999	640318	1	1		N/A	tcp	192.168.1.241	192.168.1.195	url	
9999	640105	1	1		N/A	tcp	192.168.1.241	192.168.1.195	url	
94318	640288	1	2	Nmap Aggressive Option Print Detection	hacktool	tcp	192.168.1.241	192.168.1.195	vulnerability	
35364	638065	1	1	Microsoft Windows SMB Negotiate Request	brute-force	tcp	192.168.1.241	192.168.1.195	vulnerability	
54319	640043	1	1	Suspicious HTTP Response Found	protocol-anomaly	tcp	192.168.1.241	192.168.1.195	vulnerability	
32880	640043	1	1	HTTP Non RFC-Compliant Response Found	info-leak	tcp	192.168.1.241	192.168.1.195	vulnerability	
9999	640043	1	1		N/A	tcp	192.168.1.241	192.168.1.195	url	
94318	642356	1	2	Nmap Aggressive Option Print Detection	hacktool	tcp	192.168.1.241	192.168.1.195	vulnerability	
