app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
icmp		486310	ip-protocol	4	icmp	10.200.1.233	10.200.1.15
insufficient-data		478672	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		484414	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		485685	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		486290	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		486040	unknown	1	udp	10.200.1.233	10.200.1.15
insufficient-data		485993	unknown	1	udp	10.200.1.233	10.200.1.15
insufficient-data		484485	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		486254	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		486306	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		484890	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		484187	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		485660	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		484470	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		485457	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		485808	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		486058	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		486062	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		485944	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		486036	unknown	1	udp	10.200.1.127	10.200.1.15
insufficient-data		485946	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		485996	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		486039	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		485763	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		486059	unknown	1	udp	10.200.1.181	10.200.1.15
insufficient-data		484859	unknown	1	udp	10.200.1.181	10.200.1.15
insufficient-data		485715	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		485565	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		485982	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		484818	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		486365	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		486023	unknown	1	udp	10.200.1.174	10.200.1.15
insufficient-data		487383	unknown	1	udp	10.200.1.181	10.200.1.15
insufficient-data		486388	unknown	1	udp	10.200.1.181	10.200.1.15
insufficient-data		484419	unknown	1	udp	10.200.1.110	10.200.1.15
insufficient-data		485782	unknown	1	udp	10.200.1.110	10.200.1.15
insufficient-data		486073	unknown	1	udp	10.200.1.110	10.200.1.15
insufficient-data		486106	unknown	1	udp	10.200.1.110	10.200.1.15
insufficient-data		485872	unknown	1	udp	10.200.1.110	10.200.1.15
