app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
incomplete		486068	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486071	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486142	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486136	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		485549	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		487534	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		485538	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		487346	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		487037	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		487099	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		487194	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		485521	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		488079	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		485048	unknown	1	tcp	10.200.1.166	10.50.1.54
incomplete		486369	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		485040	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486327	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486425	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486292	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486454	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486346	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		484865	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486334	unknown	1	tcp	10.200.1.166	10.50.1.54
incomplete		488054	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486187	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		487128	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		487463	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486204	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		486168	unknown	1	tcp	10.200.1.174	10.50.1.54
incomplete		485526	unknown	1	tcp	10.200.1.174	10.50.1.54
