app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
incomplete		483557	unknown	1	tcp	10.200.1.86	10.50.1.52
incomplete		482070	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483279	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483289	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484424	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483939	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485112	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485160	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485219	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483425	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483367	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483389	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484230	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		481240	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485237	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483399	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484098	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485113	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485192	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		481975	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485235	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483297	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483456	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483277	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485106	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484529	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483951	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		482111	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		482078	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483330	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485187	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483300	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485191	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485207	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485280	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484336	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483370	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483222	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484888	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483619	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485159	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483482	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485202	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485121	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483405	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485151	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484547	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483320	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485220	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485263	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483387	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483388	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		486061	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		486043	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		486077	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483407	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485094	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483335	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483397	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483285	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		486385	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		486410	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		481433	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		485462	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		486267	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484925	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483380	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		481495	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484478	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484937	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484371	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484310	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		483611	unknown	1	tcp	10.200.1.252	10.50.1.52
incomplete		484527	unknown	1	tcp	10.200.1.252	10.50.1.52
