app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
incomplete		486607	unknown	1	tcp	10.200.1.18	54.175.48.202
incomplete		488527	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		487275	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		488552	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486637	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		487578	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486475	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		487538	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486462	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		487510	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486697	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486593	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		486655	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		488492	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		485926	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		485890	unknown	1	tcp	10.200.1.162	10.200.1.18
incomplete		484298	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487565	unknown	1	tcp	10.200.1.45	10.200.1.18
dns-base	dns	484526	infrastructure	3	tcp	10.200.1.45	10.200.1.18
incomplete		485813	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		484539	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487560	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486575	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		484251	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485985	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486577	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487726	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		484246	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487773	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485283	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486480	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		485842	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		487744	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486529	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486537	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486485	unknown	1	tcp	10.200.1.45	10.200.1.18
incomplete		486650	unknown	1	tcp	10.200.1.45	10.200.1.18
