app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
incomplete		446685	unknown	1	tcp	84.3.251.103	84.3.251.102
incomplete		448422	unknown	1	tcp	84.3.251.103	84.3.251.102
incomplete		449236	unknown	1	tcp	84.3.251.103	84.3.251.102
incomplete		447155	unknown	1	tcp	84.3.251.103	84.3.251.102
incomplete		442439	unknown	1	tcp	84.3.251.103	84.3.251.102
ping		448618	internet-utility	2	icmp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447025	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447146	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	448095	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447454	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447135	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447108	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	446403	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	446698	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447168	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	445813	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	445757	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	446712	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	449579	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447134	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	446424	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	448194	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447328	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	446570	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	446843	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	448467	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	449159	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	446364	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447177	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447051	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	446754	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	445719	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447803	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
modbus-read-holding-registers	modbus	447356	ics-protocols	2	tcp	84.3.251.103	84.3.251.102
