app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
ping		767111	internet-utility	2	icmp	172.27.224.70	172.27.224.250
modbus-write-single-register	modbus	767007	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767008	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767009	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767010	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767011	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767012	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767025	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767024	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767023	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767022	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767021	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767020	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767019	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767018	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767017	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767016	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767015	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767014	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767013	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767031	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767032	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767033	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	767034	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
