app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
modbus-write-single-register	modbus	768265	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768266	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768267	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768268	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768269	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768270	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768271	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768285	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768284	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768283	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768282	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768281	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768280	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768279	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768278	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768277	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768276	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768275	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768274	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768273	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768272	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768290	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768291	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768292	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768293	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768294	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768295	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768296	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768297	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768298	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768299	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768300	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768301	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768302	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768303	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768304	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768305	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768306	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768307	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768308	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768322	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768321	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768320	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768319	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768318	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768317	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768316	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768315	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768314	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768313	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768312	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768311	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768310	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768309	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768289	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768288	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768287	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768286	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768327	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768328	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768329	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768330	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768331	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768332	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768333	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768334	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768335	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768336	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768337	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768338	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768339	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768340	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768341	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768342	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768343	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768344	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768358	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768357	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768356	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768355	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768354	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768353	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768352	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768351	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768350	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768349	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768348	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768347	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768346	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768345	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-read-holding-registers	modbus	768382	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768401	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768410	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768402	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768414	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768406	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768415	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768404	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768418	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768427	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768419	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768428	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768421	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768429	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768422	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768432	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768400	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768433	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768412	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768455	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768423	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768456	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768387	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768457	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768409	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768458	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768425	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768459	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768388	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768461	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768391	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768465	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768397	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768467	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768403	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768460	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768405	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768462	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768408	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768464	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768395	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768466	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768399	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768463	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768413	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768468	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768417	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768453	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768420	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768450	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-write-single-register	modbus	768368	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-read-holding-registers	modbus	768445	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768424	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768444	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768416	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768446	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768407	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768452	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768411	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768451	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768426	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768449	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768437	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768454	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-write-single-register	modbus	768326	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768325	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768324	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768323	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768364	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768365	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768366	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	768367	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-read-holding-registers	modbus	768398	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768396	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768394	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768393	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768392	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768390	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768389	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768386	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768385	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
modbus-read-holding-registers	modbus	768384	ics-protocols	2	tcp	172.27.224.50	172.27.224.250
