app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
modbus-write-single-register	modbus	772936	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772937	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772938	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772939	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772940	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772941	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772942	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772943	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772944	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772945	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772959	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772958	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772957	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772956	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772955	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772954	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772953	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772952	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772951	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772950	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772949	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772948	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772947	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772946	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772964	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772965	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772966	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772967	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772968	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772969	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772970	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772971	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772972	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772973	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772974	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772975	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772976	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772977	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772978	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772979	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772980	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772981	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772982	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772996	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772995	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772994	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772993	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772992	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772991	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772990	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772989	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772988	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772987	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772986	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772985	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772984	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772983	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772963	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772962	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772961	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
modbus-write-single-register	modbus	772960	ics-protocols	2	tcp	172.27.224.251	172.27.224.250
