app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
ping		788069	internet-utility	2	icmp	204.160.59.153	172.27.224.250
ping		788037	internet-utility	2	icmp	178.127.114.161	172.27.224.250
ping		788070	internet-utility	2	icmp	85.180.228.92	172.27.224.250
ping		788038	internet-utility	2	icmp	93.80.246.50	172.27.224.250
ping		788071	internet-utility	2	icmp	105.97.251.138	172.27.224.250
ping		788039	internet-utility	2	icmp	159.248.15.251	172.27.224.250
ping		788072	internet-utility	2	icmp	1.128.24.183	172.27.224.250
ping		788040	internet-utility	2	icmp	172.212.33.8	172.27.224.250
ping		788073	internet-utility	2	icmp	38.174.7.3	172.27.224.250
ping		788074	internet-utility	2	icmp	121.157.141.123	172.27.224.250
ping		788041	internet-utility	2	icmp	55.15.2.31	172.27.224.250
ping		788075	internet-utility	2	icmp	19.184.217.129	172.27.224.250
ping		788042	internet-utility	2	icmp	68.182.15.247	172.27.224.250
ping		788076	internet-utility	2	icmp	146.176.249.131	172.27.224.250
ping		788043	internet-utility	2	icmp	3.178.227.215	172.27.224.250
ping		788077	internet-utility	2	icmp	132.253.1.228	172.27.224.250
ping		788044	internet-utility	2	icmp	69.204.199.159	172.27.224.250
ping		788078	internet-utility	2	icmp	68.224.175.138	172.27.224.250
ping		788045	internet-utility	2	icmp	77.224.25.228	172.27.224.250
ping		788046	internet-utility	2	icmp	18.253.64.21	172.27.224.250
ping		788079	internet-utility	2	icmp	66.179.24.197	172.27.224.250
ping		788047	internet-utility	2	icmp	33.160.75.163	172.27.224.250
ping		788080	internet-utility	2	icmp	2.251.127.85	172.27.224.250
ping		788048	internet-utility	2	icmp	68.243.229.180	172.27.224.250
ping		788081	internet-utility	2	icmp	138.34.221.136	172.27.224.250
ping		788049	internet-utility	2	icmp	116.254.139.88	172.27.224.250
ping		788082	internet-utility	2	icmp	202.53.220.74	172.27.224.250
ping		788050	internet-utility	2	icmp	8.54.168.169	172.27.224.250
ping		788083	internet-utility	2	icmp	125.124.68.197	172.27.224.250
ping		788051	internet-utility	2	icmp	29.40.122.125	172.27.224.250
ping		788084	internet-utility	2	icmp	41.159.196.62	172.27.224.250
ping		788052	internet-utility	2	icmp	174.66.1.181	172.27.224.250
ping		788085	internet-utility	2	icmp	73.28.34.207	172.27.224.250
ping		788053	internet-utility	2	icmp	154.17.77.160	172.27.224.250
ping		788086	internet-utility	2	icmp	218.41.125.251	172.27.224.250
ping		788054	internet-utility	2	icmp	147.8.87.74	172.27.224.250
ping		788055	internet-utility	2	icmp	201.79.215.175	172.27.224.250
ping		788087	internet-utility	2	icmp	33.186.212.190	172.27.224.250
ping		788056	internet-utility	2	icmp	151.202.125.134	172.27.224.250
ping		788057	internet-utility	2	icmp	171.131.61.176	172.27.224.250
ping		788088	internet-utility	2	icmp	95.182.146.152	172.27.224.250
ping		788058	internet-utility	2	icmp	126.250.251.98	172.27.224.250
ping		788089	internet-utility	2	icmp	150.246.251.119	172.27.224.250
ping		788090	internet-utility	2	icmp	113.50.183.54	172.27.224.250
ping		788059	internet-utility	2	icmp	188.127.138.46	172.27.224.250
ping		788091	internet-utility	2	icmp	183.62.149.238	172.27.224.250
ping		788060	internet-utility	2	icmp	47.29.146.150	172.27.224.250
ping		788061	internet-utility	2	icmp	41.208.59.151	172.27.224.250
ping		788092	internet-utility	2	icmp	80.96.244.187	172.27.224.250
ping		788093	internet-utility	2	icmp	122.162.233.223	172.27.224.250
ping		788062	internet-utility	2	icmp	117.76.200.197	172.27.224.250
ping		788094	internet-utility	2	icmp	191.94.171.171	172.27.224.250
ping		788063	internet-utility	2	icmp	84.84.254.161	172.27.224.250
ping		788096	internet-utility	2	icmp	115.113.249.123	172.27.224.250
ping		788097	internet-utility	2	icmp	68.231.138.86	172.27.224.250
ping		788064	internet-utility	2	icmp	189.40.111.118	172.27.224.250
