app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
insufficient-data		789410	unknown	1	tcp	78.111.195.72	172.27.224.250
insufficient-data		789411	unknown	1	tcp	103.27.152.87	172.27.224.250
insufficient-data		789442	unknown	1	tcp	129.11.217.178	172.27.224.250
insufficient-data		789412	unknown	1	tcp	192.33.247.139	172.27.224.250
insufficient-data		789443	unknown	1	tcp	193.66.69.13	172.27.224.250
insufficient-data		789413	unknown	1	tcp	100.70.76.188	172.27.224.250
insufficient-data		789444	unknown	1	tcp	132.52.40.30	172.27.224.250
insufficient-data		789414	unknown	1	tcp	118.48.21.134	172.27.224.250
insufficient-data		789415	unknown	1	tcp	172.51.10.141	172.27.224.250
insufficient-data		789445	unknown	1	tcp	13.178.7.94	172.27.224.250
insufficient-data		789416	unknown	1	tcp	24.76.204.84	172.27.224.250
insufficient-data		789417	unknown	1	tcp	223.208.116.111	172.27.224.250
insufficient-data		789446	unknown	1	tcp	137.178.72.118	172.27.224.250
insufficient-data		789418	unknown	1	tcp	201.44.168.91	172.27.224.250
insufficient-data		789447	unknown	1	tcp	82.65.144.187	172.27.224.250
insufficient-data		789419	unknown	1	tcp	37.46.138.148	172.27.224.250
insufficient-data		789448	unknown	1	tcp	149.20.130.27	172.27.224.250
insufficient-data		789420	unknown	1	tcp	192.39.178.134	172.27.224.250
insufficient-data		789449	unknown	1	tcp	50.177.170.234	172.27.224.250
insufficient-data		789421	unknown	1	tcp	155.44.53.239	172.27.224.250
insufficient-data		789450	unknown	1	tcp	139.85.85.17	172.27.224.250
insufficient-data		789422	unknown	1	tcp	204.233.200.238	172.27.224.250
insufficient-data		789451	unknown	1	tcp	169.164.234.195	172.27.224.250
insufficient-data		789423	unknown	1	tcp	7.51.90.34	172.27.224.250
insufficient-data		789452	unknown	1	tcp	106.196.255.135	172.27.224.250
insufficient-data		789424	unknown	1	tcp	218.71.73.59	172.27.224.250
insufficient-data		789453	unknown	1	tcp	198.237.182.238	172.27.224.250
insufficient-data		789425	unknown	1	tcp	135.84.123.3	172.27.224.250
insufficient-data		789454	unknown	1	tcp	70.139.112.123	172.27.224.250
