app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
dnp3-read	dnp3	6914	ics-protocols	1	tcp	192.168.113.223	192.168.113.175
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7062	ics-protocols	1	tcp	192.168.1.99	192.168.1.20
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7075	ics-protocols	1	tcp	192.168.1.99	192.168.1.30
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7076	ics-protocols	1	tcp	192.168.1.99	192.168.1.10
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7077	ics-protocols	1	tcp	192.168.1.99	192.168.1.60
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7078	ics-protocols	1	tcp	192.168.1.99	192.168.1.40
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7079	ics-protocols	1	tcp	192.168.1.99	192.168.1.20
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7080	ics-protocols	1	tcp	192.168.1.99	192.168.1.30
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7081	ics-protocols	1	tcp	192.168.1.99	192.168.1.10
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7082	ics-protocols	1	tcp	192.168.1.99	192.168.1.60
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7083	ics-protocols	1	tcp	192.168.1.99	192.168.1.40
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7084	ics-protocols	1	tcp	192.168.1.99	192.168.1.20
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7085	ics-protocols	1	tcp	192.168.1.99	192.168.1.30
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7086	ics-protocols	1	tcp	192.168.1.99	192.168.1.10
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7093	ics-protocols	1	tcp	192.168.1.99	192.168.1.60
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7094	ics-protocols	1	tcp	192.168.1.99	192.168.1.40
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7095	ics-protocols	1	tcp	192.168.1.99	192.168.1.20
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7096	ics-protocols	1	tcp	192.168.1.99	192.168.1.30
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7097	ics-protocols	1	tcp	192.168.1.99	192.168.1.10
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7099	ics-protocols	1	tcp	192.168.1.99	192.168.1.60
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7100	ics-protocols	1	tcp	192.168.1.99	192.168.1.40
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7101	ics-protocols	1	tcp	192.168.1.99	192.168.1.20
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7102	ics-protocols	1	tcp	192.168.1.99	192.168.1.30
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7103	ics-protocols	1	tcp	192.168.1.99	192.168.1.10
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7104	ics-protocols	1	tcp	192.168.1.99	192.168.1.60
cip-ethernet-ip-read-mod-write	cip-ethernet-ip	7105	ics-protocols	1	tcp	192.168.1.99	192.168.1.40
cip-ethernet-ip-base	cip-ethernet-ip	7074	ics-protocols	1	udp	192.168.1.10	192.168.1.40
cip-ethernet-ip-base	cip-ethernet-ip	7073	ics-protocols	1	udp	192.168.1.20	192.168.1.30
cip-ethernet-ip-base	cip-ethernet-ip	7072	ics-protocols	1	udp	192.168.1.10	192.168.1.30
cip-ethernet-ip-base	cip-ethernet-ip	7071	ics-protocols	1	udp	192.168.1.10	192.168.1.50
cip-ethernet-ip-base	cip-ethernet-ip	7070	ics-protocols	1	udp	192.168.1.20	192.168.1.40
cip-ethernet-ip-base	cip-ethernet-ip	7069	ics-protocols	1	udp	192.168.1.60	192.168.1.20
cip-ethernet-ip-base	cip-ethernet-ip	7068	ics-protocols	1	udp	192.168.1.30	192.168.1.60
cip-ethernet-ip-base	cip-ethernet-ip	7067	ics-protocols	1	udp	192.168.1.30	192.168.1.40
cip-ethernet-ip-base	cip-ethernet-ip	7066	ics-protocols	1	udp	192.168.1.40	192.168.1.50
cip-ethernet-ip-base	cip-ethernet-ip	7065	ics-protocols	1	udp	192.168.1.10	192.168.1.60
cip-ethernet-ip-base	cip-ethernet-ip	7064	ics-protocols	1	udp	192.168.1.10	192.168.1.20
cip-ethernet-ip-base	cip-ethernet-ip	7063	ics-protocols	1	udp	192.168.1.20	192.168.1.50
