app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
omron-fins-mem-area-read	omron-fins	6746	ics-protocols	1	udp	192.168.1.134	192.168.1.135
omron-fins-mem-area-read	omron-fins	6747	ics-protocols	1	udp	192.168.1.134	192.168.1.135
omron-fins-mem-area-read	omron-fins	6748	ics-protocols	1	udp	192.168.1.134	192.168.1.135
omron-fins-mem-area-read	omron-fins	6749	ics-protocols	1	udp	192.168.1.134	192.168.1.135
omron-fins-mem-area-read	omron-fins	6750	ics-protocols	1	udp	192.168.1.134	192.168.1.135
omron-fins-mem-area-read	omron-fins	6751	ics-protocols	1	udp	192.168.1.134	192.168.1.135
omron-fins-mem-area-write	omron-fins	6752	ics-protocols	1	udp	192.168.1.134	192.168.1.135
omron-fins-mem-area-fill	omron-fins	6753	ics-protocols	1	udp	192.168.1.134	192.168.1.135
omron-fins-mem-area-read	omron-fins	6754	ics-protocols	1	udp	192.168.1.134	192.168.1.135
omron-fins-mem-area-transfer	omron-fins	6755	ics-protocols	1	udp	192.168.1.134	192.168.1.135
