app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
mqtt-connect	mqtt	5006	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5007	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5008	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5009	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5010	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5011	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5012	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5013	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5014	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5015	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5016	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5017	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5018	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5019	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5020	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5021	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5022	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5023	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5024	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5025	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5026	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5027	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5028	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5029	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5030	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5031	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5076	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5075	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5074	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5073	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5072	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5071	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5070	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5069	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5068	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5067	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5066	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5065	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5064	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5063	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5062	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5061	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5060	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5059	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5058	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5057	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5056	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5055	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5054	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5053	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5052	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5051	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5050	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5049	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5048	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5047	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5046	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5045	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5044	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5043	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5042	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5041	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5040	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5039	general-business	2	tcp	192.168.1.134	192.168.1.133
mqtt-base	mqtt	5038	general-business	2	tcp	192.168.1.134	192.168.1.133
