app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
unknown-tcp		274	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		273	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		272	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		271	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		270	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		269	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		268	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		267	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		266	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		265	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		264	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		263	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		262	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		261	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		260	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		259	unknown	1	tcp	192.168.100.2	192.168.100.3
unknown-tcp		258	unknown	1	tcp	192.168.100.2	192.168.100.3
