app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
incomplete		640197	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640048	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640308	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640352	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640006	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640009	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640143	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640201	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		641362	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640175	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640069	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		643051	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640157	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640161	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		642999	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640180	unknown	1	tcp	192.168.1.241	192.168.1.195
insufficient-data		640056	unknown	1	tcp	192.168.1.241	192.168.1.195
unknown-tcp		640105	unknown	1	tcp	192.168.1.241	192.168.1.195
unknown-tcp		640318	unknown	1	tcp	192.168.1.241	192.168.1.195
insufficient-data		640076	unknown	1	tcp	192.168.1.241	192.168.1.195
portmapper		640210	infrastructure	3	tcp	192.168.1.241	192.168.1.195
insufficient-data		640312	unknown	1	tcp	192.168.1.241	192.168.1.195
insufficient-data		640360	unknown	1	tcp	192.168.1.241	192.168.1.195
insufficient-data		640328	unknown	1	tcp	192.168.1.241	192.168.1.195
ssl		640299	encrypted-tunnel	4	tcp	192.168.1.241	192.168.1.195
ms-rdp		643186	remote-access	4	tcp	192.168.1.241	192.168.1.195
ssl		640288	encrypted-tunnel	4	tcp	192.168.1.241	192.168.1.195
insufficient-data		640101	unknown	1	tcp	192.168.1.241	192.168.1.195
ms-ds-smb-base	ms-ds-smb	638065	storage-backup	3	tcp	192.168.1.241	192.168.1.195
insufficient-data		642233	unknown	1	tcp	192.168.1.241	192.168.1.195
unknown-tcp		640043	unknown	1	tcp	192.168.1.241	192.168.1.195
insufficient-data		640146	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640183	unknown	1	tcp	192.168.1.241	192.168.1.195
insufficient-data		642224	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		642268	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640399	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		643012	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640071	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640078	unknown	1	tcp	192.168.1.241	192.168.1.195
insufficient-data		640096	unknown	1	tcp	192.168.1.241	192.168.1.195
ms-sms		640083	management	3	tcp	192.168.1.241	192.168.1.195
sip		640087	voip-video	4	tcp	192.168.1.241	192.168.1.195
incomplete		642414	unknown	1	tcp	192.168.1.241	192.168.1.195
t.120		640007	infrastructure	3	tcp	192.168.1.241	192.168.1.195
insufficient-data		643027	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		642424	unknown	1	tcp	192.168.1.241	192.168.1.195
insufficient-data		640313	unknown	1	tcp	192.168.1.241	192.168.1.195
insufficient-data		640046	unknown	1	tcp	192.168.1.241	192.168.1.195
rmi-iiop-base	rmi-iiop	640102	general-business	1	tcp	192.168.1.241	192.168.1.195
oracle		640098	database	2	tcp	192.168.1.241	192.168.1.195
mssql-db-base	mssql-db	640266	database	2	tcp	192.168.1.241	192.168.1.195
afp		640372	storage-backup	3	tcp	192.168.1.241	192.168.1.195
ping		640209	internet-utility	2	icmp	192.168.1.241	192.168.1.195
ping		640209	internet-utility	2	icmp	192.168.1.241	192.168.1.195
ping		640209	internet-utility	2	icmp	192.168.1.241	192.168.1.195
ping		640209	internet-utility	2	icmp	192.168.1.241	192.168.1.195
corba		640361	general-business	1	tcp	192.168.1.241	192.168.1.195
incomplete		640183	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		643012	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640399	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640078	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		640071	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		642281	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		642268	unknown	1	tcp	192.168.1.241	192.168.1.195
incomplete		642414	unknown	1	tcp	192.168.1.241	192.168.1.195
ssl		642356	encrypted-tunnel	4	tcp	192.168.1.241	192.168.1.195
ssl		641387	encrypted-tunnel	4	tcp	192.168.1.241	192.168.1.195
portmapper		638504	infrastructure	3	tcp	192.168.1.241	192.168.1.195
insufficient-data		642405	unknown	1	udp	192.168.1.241	192.168.1.195
insufficient-data		642338	unknown	1	udp	192.168.1.241	192.168.1.195
mssql-mon		640226	database	2	udp	192.168.1.241	192.168.1.195
