app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
msrpc-base	msrpc	23076	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23077	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23078	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23080	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23079	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23081	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23082	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23084	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23083	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23085	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23086	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23088	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23090	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23092	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23094	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23096	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23098	infrastructure	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23091	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23089	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23093	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23097	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23099	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23095	auth-service	2	tcp	192.168.1.135	192.168.1.200
ms-netlogon		23087	auth-service	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23100	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23102	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23104	infrastructure	2	tcp	192.168.1.135	192.168.1.200
msrpc-base	msrpc	23106	infrastructure	2	tcp	192.168.1.135	192.168.1.200
