app	container_of_app	sessionid	subcategory_of_app	risk_of_app	proto	src_ip	dst_ip
incomplete		491462	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491419	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491402	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491384	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492082	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		490461	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491540	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491688	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491728	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491691	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491676	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491448	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491659	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491692	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492162	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491507	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491603	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491712	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491693	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492148	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491610	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491422	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492069	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492159	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491638	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491637	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491629	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491699	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491615	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492111	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		490449	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491385	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491141	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491608	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491508	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492734	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491686	unknown	1	tcp	10.50.1.10	10.100.1.3
incomplete		491453	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491121	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491611	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491706	unknown	1	tcp	10.200.1.234	10.50.1.10
ping		491123	internet-utility	2	icmp	10.200.1.252	10.50.1.10
incomplete		491601	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492099	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492174	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491644	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491655	unknown	1	tcp	10.50.1.10	10.100.1.3
incomplete		491661	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491647	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492115	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491612	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492217	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492121	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492751	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491653	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491799	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491700	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491817	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491763	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491811	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492061	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491788	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491702	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491596	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491751	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491687	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491806	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491990	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491664	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491595	unknown	1	tcp	10.200.1.234	10.50.1.10
ping		491583	internet-utility	2	icmp	10.200.1.252	10.50.1.10
incomplete		492055	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491228	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491787	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491710	unknown	1	tcp	10.50.1.10	10.100.1.3
incomplete		492138	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491735	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491849	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491738	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		493062	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491726	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491396	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491786	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491602	unknown	1	tcp	10.50.1.10	10.100.1.3
incomplete		491394	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491115	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		493101	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491683	unknown	1	tcp	10.200.1.234	10.50.1.10
ping		492131	internet-utility	2	icmp	10.200.1.252	10.50.1.10
incomplete		491822	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491767	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491684	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492214	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491864	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491472	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491841	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491632	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491945	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492097	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491695	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491877	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491298	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491794	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491654	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491301	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491315	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491288	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491617	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491696	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		493074	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491742	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		493093	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		493122	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491878	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		493191	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		493111	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491736	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491626	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492758	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491252	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492814	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		493810	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491312	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491559	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491299	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491569	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491633	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491842	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		493067	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491641	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491765	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491782	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491125	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		492786	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491263	unknown	1	tcp	10.200.1.159	10.50.1.10
incomplete		490651	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491627	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491830	unknown	1	tcp	10.200.1.159	10.50.1.10
incomplete		491861	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491671	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491378	unknown	1	tcp	10.50.1.10	10.100.1.3
incomplete		491283	unknown	1	tcp	10.200.1.234	10.50.1.10
incomplete		491566	unknown	1	tcp	10.200.1.234	10.50.1.10
