1,2002752,1 05/02-20:21:14.967272  [**] [1:2002752:4] ET POLICY Reserved Internal IP Traffic [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.0.142:36809 -> 192.168.0.64:44818
1,2002749,1 05/02-20:21:14.967272  [**] [1:2002749:14] ET POLICY Unallocated IP Space Traffic - Bogon Nets [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.0.142:36809 -> 192.168.0.64:44818
2,2002752,1 05/02-20:21:14.967464  [**] [1:2002752:4] ET POLICY Reserved Internal IP Traffic [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.0.64:44818 -> 192.168.0.142:36809
2,2002749,1 05/02-20:21:14.967464  [**] [1:2002749:14] ET POLICY Unallocated IP Space Traffic - Bogon Nets [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.0.64:44818 -> 192.168.0.142:36809
7,2013491,1 05/02-20:21:14.969869  [**] [1:2013491:4] ET POLICY NetBIOS nbtstat Type Query Inbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
7,2013490,1 05/02-20:21:14.969869  [**] [1:2013490:4] ET POLICY NetBIOS nbtstat Type Query Outbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
7,2009768,1 05/02-20:21:14.969869  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
7,2002749,1 05/02-20:21:14.969869  [**] [1:2002752:4] ET POLICY Reserved Internal IP Traffic [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
8,2100402,1 05/02-20:21:14.969896  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.56.1
9,2013491,1 05/02-20:21:14.969994  [**] [1:2013491:4] ET POLICY NetBIOS nbtstat Type Query Inbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
9,2013490,1 05/02-20:21:14.969994  [**] [1:2013490:4] ET POLICY NetBIOS nbtstat Type Query Outbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
9,2009768,1 05/02-20:21:14.969994  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
9,2002749,1 05/02-20:21:14.969994  [**] [1:2002752:4] ET POLICY Reserved Internal IP Traffic [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
10,2100402,1 05/02-20:21:14.970001  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.1.190
11,2013491,1 05/02-20:21:14.970110  [**] [1:2013491:4] ET POLICY NetBIOS nbtstat Type Query Inbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
11,2013490,1 05/02-20:21:14.970110  [**] [1:2013490:4] ET POLICY NetBIOS nbtstat Type Query Outbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
11,2009768,1 05/02-20:21:14.970110  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
11,2002749,1 05/02-20:21:14.970110  [**] [1:2002752:4] ET POLICY Reserved Internal IP Traffic [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
12,2100402,1 05/02-20:21:14.970116  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.174.1
13,2013491,1 05/02-20:21:14.970265  [**] [1:2013491:4] ET POLICY NetBIOS nbtstat Type Query Inbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
13,2013490,1 05/02-20:21:14.970265  [**] [1:2013490:4] ET POLICY NetBIOS nbtstat Type Query Outbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
13,2009768,1 05/02-20:21:14.970265  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
13,2002749,1 05/02-20:21:14.970265  [**] [1:2002752:4] ET POLICY Reserved Internal IP Traffic [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
14,2100402,1 05/02-20:21:14.970271  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.232.1
18,2026917,1 05/02-20:21:14.972387  [**] [1:2026917:1] ET EXPLOIT Possible MicroLogix 1100 PCCC DoS Condition (CVE-2017-7924) [**] [Classification: Attempted Denial of Service] [Priority: 2] {TCP} 192.168.0.142:36809 -> 192.168.0.64:44818
23,2009768,1 05/02-20:21:16.470484  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
24,2100402,1 05/02-20:21:16.470501  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.232.1
25,2009768,1 05/02-20:21:16.470484  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
26,2100402,1 05/02-20:21:16.470512  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.174.1
27,2009768,1 05/02-20:21:16.470484  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
28,2100402,1 05/02-20:21:16.470516  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.1.190
29,2009768,1 05/02-20:21:16.470484  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
30,2100402,1 05/02-20:21:16.470520  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.56.1
