1,2002752,1 05/02-20:29:27.770258  [**] [1:2002752:4] ET POLICY Reserved Internal IP Traffic [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.0.142:41249 -> 192.168.0.64:44818
1,2002749,1 05/02-20:29:27.770258  [**] [1:2002749:14] ET POLICY Unallocated IP Space Traffic - Bogon Nets [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.0.142:41249 -> 192.168.0.64:44818
2,2002752,1 05/02-20:29:27.770515  [**] [1:2002752:4] ET POLICY Reserved Internal IP Traffic [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.0.64:44818 -> 192.168.0.142:41249
2,2002749,1 05/02-20:29:27.770515  [**] [1:2002749:14] ET POLICY Unallocated IP Space Traffic - Bogon Nets [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 192.168.0.64:44818 -> 192.168.0.142:41249
7,2013491,1 05/02-20:29:27.772289  [**] [1:2013491:4] ET POLICY NetBIOS nbtstat Type Query Inbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
7,2013490,1 05/02-20:29:27.772289  [**] [1:2013490:4] ET POLICY NetBIOS nbtstat Type Query Outbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
7,2009768,1 05/02-20:29:27.772289  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
7,2002752,1 05/02-20:29:27.772289  [**] [1:2002749:14] ET POLICY Unallocated IP Space Traffic - Bogon Nets [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
8,2100402,1 05/02-20:29:27.772302  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.56.1
9,2013491,1 05/02-20:29:27.772446  [**] [1:2013491:4] ET POLICY NetBIOS nbtstat Type Query Inbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
9,2013490,1 05/02-20:29:27.772446  [**] [1:2013490:4] ET POLICY NetBIOS nbtstat Type Query Outbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
9,2009768,1 05/02-20:29:27.772446  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
9,2002752,1 05/02-20:29:27.772446  [**] [1:2002749:14] ET POLICY Unallocated IP Space Traffic - Bogon Nets [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
10,2100402,1 05/02-20:29:27.772455  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.1.190
11,2013491,1 05/02-20:29:27.772446  [**] [1:2013491:4] ET POLICY NetBIOS nbtstat Type Query Inbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
11,2013490,1 05/02-20:29:27.772446  [**] [1:2013490:4] ET POLICY NetBIOS nbtstat Type Query Outbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
11,2009768,1 05/02-20:29:27.772446  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
11,2002752,1 05/02-20:29:27.772446  [**] [1:2002749:14] ET POLICY Unallocated IP Space Traffic - Bogon Nets [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
12,2100402,1 05/02-20:29:27.772468  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.174.1
13,2013491,1 05/02-20:29:27.772547  [**] [1:2013491:4] ET POLICY NetBIOS nbtstat Type Query Inbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
13,2013490,1 05/02-20:29:27.772547  [**] [1:2013490:4] ET POLICY NetBIOS nbtstat Type Query Outbound [**] [Classification: Unknown Traffic] [Priority: 3] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
13,2009768,1 05/02-20:29:27.772547  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
13,2002752,1 05/02-20:29:27.772547  [**] [1:2002749:14] ET POLICY Unallocated IP Space Traffic - Bogon Nets [**] [Classification: Potentially Bad Traffic] [Priority: 2] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
14,2100402,1 05/02-20:29:27.772552  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.232.1
20,2009768,1 05/02-20:29:29.272490  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
21,2100402,1 05/02-20:29:29.272509  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.232.1
22,2009768,1 05/02-20:29:29.272490  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
23,2100402,1 05/02-20:29:29.272522  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.174.1
24,2009768,1 05/02-20:29:29.272490  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
25,2100402,1 05/02-20:29:29.272526  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.1.190
26,2009768,1 05/02-20:29:29.272490  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
27,2100402,1 05/02-20:29:29.272530  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.56.1
28,2009768,1 05/02-20:29:30.774173  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.56.1:137 -> 192.168.0.142:137
29,2100402,1 05/02-20:29:30.774192  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.56.1
30,2009768,1 05/02-20:29:30.774173  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
30,2009767,1 05/02-20:29:30.774173  [**] [1:2009767:5] ET SCAN Multiple NBTStat Query Responses to External Destination, Possible Automated Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.1.190:137 -> 192.168.0.142:137
31,2100402,1 05/02-20:29:30.774204  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.1.190
32,2009768,1 05/02-20:29:30.774173  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.174.1:137 -> 192.168.0.142:137
33,2100402,1 05/02-20:29:30.774210  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.174.1
34,2009768,1 05/02-20:29:30.774173  [**] [1:2009768:6] ET SCAN NBTStat Query Response to External Destination, Possible Windows Network Enumeration [**] [Classification: Attempted Information Leak] [Priority: 2] {UDP} 192.168.232.1:137 -> 192.168.0.142:137
35,2100402,1 05/02-20:29:30.774216  [**] [1:2100402:8] GPL ICMP_INFO Destination Unreachable Port Unreachable [**] [Classification: Misc activity] [Priority: 3] {ICMP} 192.168.0.142 -> 192.168.232.1
