Nombre del archivo, SIDs distintos sin repetir, Cantidad de SIDs distintos, Número total de alertas, SIDs que no aparecen en la lista, SIDs que aparecen en la lista, Nº total de flujos detectados, Nº de mensajes detectados, Nº de instancias
ataque-initial-access-RealWin-Server.pcapng-FIX_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 2, 2, 4
C&C-port80-RealWin-Server.pcapng-FIX_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 2, 2, 4
RealWin-fixed_[1]_combined_alerts.txt, "2000419,2002749,2002752,2011976,2025644,2035480", 6, 10, "2000419,2011976,2025644,2035480", "2002749,2002752", 3, 6, 10
T0802-AutoCollect-OPCUA_[2]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0802-AutoCollect-SNMP_[1]_combined_alerts.txt, "2002749,2002752,2101411,2101417", 4, 94, "2101411,2101417", "2002749,2002752", 1, 46, 94
T0809-DataDestroy-OMRON_[2]_combined_alerts.txt, "", 1, 0, "", "", 0, 0, 0
T0814-DoS-OPCUA-Short_[2]_combined_alerts.txt, "2002749,2002752", 2, 2, "", "2002749,2002752", 1, 1, 2
T0814-DoS-PCC_[1]_combined_alerts.txt, "2002749,2002752,2009768,2013490,2013491,2026917,2100402", 7, 33, "2009768,2013490,2013491,2026917,2100402", "2002749,2002752", 9, 19, 33
T0816-RestartAllenBradley-SNMP_[2]_combined_alerts.txt, "2002749,2002752,2100402,2101417", 4, 9, "2100402,2101417", "2002749,2002752", 3, 8, 9
T0816-ShtDownAllenBradley-CIP_[1]_combined_alerts.txt, "2002749,2002752,2009767,2009768,2013490,2013491,2100402", 7, 41, "2009767,2009768,2013490,2013491,2100402", "2002749,2002752", 9, 26, 41
T0816-ShutDown-Modbus_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0816-StopCommand-S7Comm_[2]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0830_MiTM-BacNet-FIXED_[2]_combined_alerts.txt, "2002749,2002752,2009206,2009207,2100384,2100408,2100469,2100527", 8, 35, "2100384,2100408,2100469", "2002749,2002752,2009206,2009207,2100527", 10, 21, 35
T0831-ModifParam-DNP3-FIXED_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0831-Modifparam-IEC104_[2]_combined_alerts.txt, "2002749,2002752,2027397,2046158,2046159,2046160,2046161,2046164,2046165", 9, 17, "2027397,2046158,2046159,2046160,2046161,2046164,2046165", "2002749,2002752", 2, 14, 17
T0831-Modifparam-IEC104_[2]-FIXED_combined_alerts.txt, "2002749,2002752,2046158,2046159,2046160,2046161,2046164,2046165", 8, 16, "2046158,2046159,2046160,2046161,2046164,2046165", "2002749,2002752", 1, 13, 16
T0836-ModifParam-Modbus_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0836-ModifParam-S7_[1]_combined_alerts.txt, "2002749,2002752,2027397", 3, 7, "2027397", "2002749,2002752", 3, 3, 7
T0836-ModifyParam-OmronFINS_[2]_combined_alerts.txt, "2002749,2002752", 2, 6, "", "2002749,2002752", 3, 3, 6
T0843-FileDownload-Modbus_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0843-FileRead-DNP3-FIXED_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0843-FileUpload-Modbus_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0843-FileWrite-DNP3-FIXED_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0843-ProgDownload-IEC104_[2]_combined_alerts.txt, "2002749,2002752,2046158,2046159,2046160,2046161,2046164,2046165", 8, 12, "2046158,2046159,2046160,2046161,2046164,2046165", "2002749,2002752", 1, 10, 12
T0846-DiscoverMetasp-Modbus_[1]_combined_alerts.txt, "2002749,2002752", 2, 4, "", "2002749,2002752", 1, 2, 4
T0846-Discovery-BacNet-2_[2]_combined_alerts.txt, "", 1, 0, "", "", 0, 0, 0
T0846-Discovery-BacNet_[2]_combined_alerts.txt, "2002749,2002752,2027397", 3, 5, "2027397", "2002749,2002752", 2, 2, 5
T0846-Discovery-IEC104_[2]_combined_alerts.txt, "2002749,2002752,2009582,2027397", 4, 6, "2009582,2027397", "2002749,2002752", 2, 3, 6
